Date-Time,PM10
2013-03-01,10.75
2013-03-02,42.083333333333336
2013-03-03,120.54166666666667
2013-03-04,44.583333333333336
2013-03-05,183.79166666666666
2013-03-06,265.1666666666667
2013-03-07,316.0833333333333
2013-03-08,297.9583333333333
2013-03-09,227.60416666666666
2013-03-10,68.91666666666667
2013-03-11,178.29166666666666
2013-03-12,117.16666666666667
2013-03-13,19.333333333333332
2013-03-14,107.29166666666667
2013-03-15,250.625
2013-03-16,257.9166666666667
2013-03-17,309.6666666666667
2013-03-18,118.04166666666667
2013-03-19,49.125
2013-03-20,47.791666666666664
2013-03-21,161.75
2013-03-22,144.58333333333334
2013-03-23,88.66666666666667
2013-03-24,37.625
2013-03-25,143.33333333333334
2013-03-26,251.33333333333334
2013-03-27,122.91666666666667
2013-03-28,54.791666666666664
2013-03-29,140.41666666666666
2013-03-30,111.16666666666667
2013-03-31,194.0
2013-04-01,112.58333333333333
2013-04-02,140.54166666666666
2013-04-03,204.58333333333334
2013-04-04,110.75
2013-04-05,49.583333333333336
2013-04-06,23.083333333333332
2013-04-07,126.83333333333333
2013-04-08,123.83333333333333
2013-04-09,28.916666666666668
2013-04-10,30.0
2013-04-11,63.708333333333336
2013-04-12,135.04166666666666
2013-04-13,136.79166666666666
2013-04-14,109.375
2013-04-15,181.95833333333334
2013-04-16,161.08333333333334
2013-04-17,90.375
2013-04-18,42.416666666666664
2013-04-19,86.95833333333333
2013-04-20,83.625
2013-04-21,159.625
2013-04-22,183.375
2013-04-23,191.79166666666666
2013-04-24,116.79166666666667
2013-04-25,39.083333333333336
2013-04-26,150.04166666666666
2013-04-27,128.5
2013-04-28,118.91666666666667
2013-04-29,61.5
2013-04-30,54.458333333333336
2013-05-01,91.25
2013-05-02,127.375
2013-05-03,75.66666666666667
2013-05-04,121.41666666666667
2013-05-05,241.875
2013-05-06,253.79166666666666
2013-05-07,230.75
2013-05-08,160.08333333333334
2013-05-09,68.16666666666667
2013-05-10,98.79166666666667
2013-05-11,133.16666666666666
2013-05-12,105.70833333333333
2013-05-13,181.91666666666666
2013-05-14,121.0
2013-05-15,161.0
2013-05-16,118.08333333333333
2013-05-17,138.91666666666666
2013-05-18,154.79166666666666
2013-05-19,172.29166666666666
2013-05-20,145.45833333333334
2013-05-21,238.75
2013-05-22,141.54166666666666
