Date-Time,NO2
2013-03-01,22.583333333333332
2013-03-02,66.66666666666667
2013-03-03,81.0
2013-03-04,46.1875
2013-03-05,132.83333333333334
2013-03-06,142.05938333333333
2013-03-07,147.75
2013-03-08,120.0927875
2013-03-09,45.0
2013-03-10,49.666666666666664
2013-03-11,90.66666666666667
2013-03-12,72.875
2013-03-13,36.083333333333336
2013-03-14,70.375
2013-03-15,99.41666666666667
2013-03-16,90.375
2013-03-17,113.875
2013-03-18,46.166666666666664
2013-03-19,49.166666666666664
2013-03-20,41.541666666666664
2013-03-21,85.75
2013-03-22,70.375
2013-03-23,57.625
2013-03-24,35.5
2013-03-25,87.25
2013-03-26,106.29166666666667
2013-03-27,42.958333333333336
2013-03-28,39.833333333333336
2013-03-29,88.5
2013-03-30,68.20833333333333
2013-03-31,72.66666666666667
2013-04-01,39.083333333333336
2013-04-02,68.95833333333333
2013-04-03,87.70833333333333
2013-04-04,84.58333333333333
2013-04-05,41.083333333333336
2013-04-06,27.041666666666668
2013-04-07,71.875
2013-04-08,21.375
2013-04-09,14.416666666666666
2013-04-10,32.458333333333336
2013-04-11,61.52594166666666
2013-04-12,87.80354583333333
2013-04-13,53.5
2013-04-14,41.5
2013-04-15,74.29166666666667
2013-04-16,49.458333333333336
2013-04-17,52.708333333333336
2013-04-18,28.932125
2013-04-19,56.416666666666664
2013-04-20,55.125
2013-04-21,71.17055
2013-04-22,66.92082916666668
2013-04-23,62.25
2013-04-24,39.583333333333336
2013-04-25,39.208333333333336
2013-04-26,79.25
2013-04-27,68.89655
2013-04-28,60.291666666666664
2013-04-29,24.125
2013-04-30,43.5
2013-05-01,47.875
2013-05-02,64.08333333333333
2013-05-03,30.375
2013-05-04,37.208333333333336
2013-05-05,72.16666666666667
2013-05-06,50.25
2013-05-07,85.79166666666667
2013-05-08,65.04166666666667
2013-05-09,62.875
2013-05-10,59.5
2013-05-11,71.16666666666667
2013-05-12,63.416666666666664
2013-05-13,87.58333333333333
2013-05-14,50.458333333333336
2013-05-15,65.70833333333333
2013-05-16,61.458333333333336
2013-05-17,53.333333333333336
2013-05-18,52.541666666666664
2013-05-19,26.333333333333332
2013-05-20,50.25
2013-05-21,78.58333333333333
2013-05-22,76.5
2013-05-23,96.04166666666667
2013-05-24,75.29166666666667
2013-05-25,62.458333333333336
2013-05-26,55.625
2013-05-27,53.625
2013-05-28,70.08333333333333
2013-05-29,31.5
2013-05-30,81.54166666666667
2013-05-31,52.833333333333336
2013-06-01,61.041666666666664
2013-06-02,67.70833333333333
2013-06-03,78.75
2013-06-04,88.58333333333333
2013-06-05,55.541666666666664
2013-06-06,58.541666666666664
2013-06-07,67.875
2013-06-08,81.16666666666667
2013-06-09,65.57535
2013-06-10,70.08333333333333
2013-06-11,88.25
2013-06-12,69.08333333333333
2013-06-13,84.58333333333333
2013-06-14,78.95833333333333
2013-06-15,109.0
2013-06-16,91.08333333333333
2013-06-17,56.0
2013-06-18,90.875
2013-06-19,59.1893
2013-06-20,97.48921250000001
2013-06-21,81.45277500000002
2013-06-22,62.4881875
2013-06-23,63.420591666666674
2013-06-24,60.14434583333335
2013-06-25,60.83723333333334
2013-06-26,59.57977083333335
2013-06-27,68.81827083333333
2013-06-28,75.95463333333333
2013-06-29,61.333333333333336
2013-06-30,70.54166666666667
2013-07-01,72.6846625
2013-07-02,43.958333333333336
2013-07-03,72.29166666666667
2013-07-04,57.291666666666664
2013-07-05,45.916666666666664
2013-07-06,59.208333333333336
2013-07-07,42.166666666666664
2013-07-08,54.833333333333336
2013-07-09,60.875
2013-07-10,53.833333333333336
2013-07-11,57.92400000000001
2013-07-12,55.201375000000006
2013-07-13,47.791666666666664
2013-07-14,46.875
2013-07-15,52.583333333333336
2013-07-16,41.375
2013-07-17,59.916666666666664
2013-07-18,53.583333333333336
2013-07-19,49.791666666666664
2013-07-20,49.583333333333336
2013-07-21,57.791666666666664
2013-07-22,62.20679583333333
2013-07-23,35.583333333333336
2013-07-24,50.0
2013-07-25,49.375
2013-07-26,65.08333333333333
2013-07-27,67.66666666666667
2013-07-28,53.645833333333336
2013-07-29,81.58333333333333
2013-07-30,60.25
2013-07-31,47.395833333333336
2013-08-01,63.27016666666666
2013-08-02,59.041666666666664
2013-08-03,44.0076125
2013-08-04,41.3105
2013-08-05,48.402095833333334
2013-08-06,62.239081250000005
2013-08-07,41.8726
2013-08-08,58.331199999999995
2013-08-09,54.49050416666666
2013-08-10,53.83175833333334
2013-08-11,50.752829166666665
2013-08-12,40.160572916666666
2013-08-13,54.041666666666664
2013-08-14,74.95833333333333
2013-08-15,61.375
2013-08-16,66.75
2013-08-17,47.833333333333336
2013-08-18,39.166666666666664
2013-08-19,60.25
2013-08-20,68.25
2013-08-21,54.833333333333336
2013-08-22,102.83333333333333
2013-08-23,69.375
2013-08-24,72.95833333333333
2013-08-25,67.33333333333333
2013-08-26,64.125
2013-08-27,65.20833333333333
2013-08-28,54.83552631578948
2013-08-29,29.372807017543863
2013-08-30,31.791666666666668
2013-08-31,43.708333333333336
2013-09-01,50.458333333333336
2013-09-02,51.416666666666664
2013-09-03,55.791666666666664
2013-09-04,52.5
2013-09-05,37.791666666666664
2013-09-06,53.416666666666664
2013-09-07,64.70833333333333
2013-09-08,65.29166666666667
2013-09-09,53.875
2013-09-10,57.666666666666664
2013-09-11,63.5
2013-09-12,111.54166666666667
2013-09-13,63.666666666666664
2013-09-14,52.5625
2013-09-15,56.208333333333336
2013-09-16,66.45833333333333
2013-09-17,76.33333333333333
2013-09-18,61.958333333333336
2013-09-19,54.791666666666664
2013-09-20,54.0
2013-09-21,53.0
2013-09-22,86.25
2013-09-23,40.791666666666664
2013-09-24,39.875
2013-09-25,50.041666666666664
2013-09-26,73.125
2013-09-27,102.625
2013-09-28,85.8346125
2013-09-29,97.58333333333333
2013-09-30,91.66666666666667
2013-10-01,61.041666666666664
2013-10-02,38.958333333333336
2013-10-03,62.541666666666664
2013-10-04,92.29166666666667
2013-10-05,112.83333333333333
2013-10-06,99.04166666666667
2013-10-07,60.25
2013-10-08,56.833333333333336
2013-10-09,95.125
2013-10-10,41.125
2013-10-11,73.29166666666667
2013-10-12,81.83333333333333
2013-10-13,63.541666666666664
2013-10-14,48.083333333333336
2013-10-15,50.416666666666664
2013-10-16,68.25
2013-10-17,94.83333333333333
2013-10-18,126.16666666666667
2013-10-19,48.208333333333336
2013-10-20,56.080058333333334
2013-10-21,86.574525
2013-10-22,94.4197375
2013-10-23,44.041666666666664
2013-10-24,26.0
2013-10-25,58.125
2013-10-26,72.27083333333333
2013-10-27,122.45833333333333
2013-10-28,118.5
2013-10-29,46.166666666666664
2013-10-30,77.83333333333333
2013-10-31,104.79166666666667
2013-11-01,105.66666666666667
2013-11-02,111.5
2013-11-03,43.208333333333336
2013-11-04,58.541666666666664
2013-11-05,100.5
2013-11-06,58.25
2013-11-07,47.833333333333336
2013-11-08,90.625
2013-11-09,66.95833333333333
2013-11-10,27.041666666666668
2013-11-11,47.416666666666664
2013-11-12,59.75
2013-11-13,98.66666666666667
2013-11-14,56.875
2013-11-15,91.0
2013-11-16,33.875
2013-11-17,27.416666666666668
2013-11-18,23.25
2013-11-19,40.291666666666664
2013-11-20,64.04166666666667
2013-11-21,77.16666666666667
2013-11-22,92.16666666666667
2013-11-23,112.04166666666667
2013-11-24,52.0
2013-11-25,27.125
2013-11-26,24.208333333333332
2013-11-27,9.791666666666666
2013-11-28,29.5
2013-11-29,73.79166666666667
2013-11-30,48.041666666666664
2013-12-01,73.95833333333333
2013-12-02,84.04166666666667
2013-12-03,62.041666666666664
2013-12-04,71.16666666666667
2013-12-05,43.625
2013-12-06,78.66666666666667
2013-12-07,103.54166666666667
2013-12-08,76.45833333333333
2013-12-09,25.208333333333332
2013-12-10,32.833333333333336
2013-12-11,40.583333333333336
2013-12-12,30.791666666666668
2013-12-13,49.875
2013-12-14,56.583333333333336
2013-12-15,53.625
2013-12-16,78.83333333333333
2013-12-17,50.57335416666666
2013-12-18,38.916666666666664
2013-12-19,49.84988125
2013-12-20,59.916666666666664
2013-12-21,68.83333333333333
2013-12-22,95.45833333333333
2013-12-23,97.875
2013-12-24,124.16666666666667
2013-12-25,99.70833333333333
2013-12-26,19.166666666666668
2013-12-27,41.959183333333335
2013-12-28,28.05859583333334
2013-12-29,88.66666666666667
2013-12-30,49.25
2013-12-31,52.541666666666664
2014-01-01,69.5
2014-01-02,93.70833333333333
2014-01-03,48.125
2014-01-04,78.625
2014-01-05,70.70833333333333
2014-01-06,67.10416666666667
2014-01-07,61.125
2014-01-08,20.916666666666668
2014-01-09,39.458333333333336
2014-01-10,75.625
2014-01-11,98.91666666666667
2014-01-12,35.0
2014-01-13,81.70833333333333
2014-01-14,81.08333333333333
2014-01-15,97.0
2014-01-16,134.04166666666666
2014-01-17,66.04166666666667
2014-01-18,67.64583333333333
2014-01-19,71.95833333333333
2014-01-20,7.333333333333333
2014-01-21,40.083333333333336
2014-01-22,94.375
2014-01-23,127.3125
2014-01-24,92.04166666666667
2014-01-25,38.020833333333336
2014-01-26,38.5
2014-01-27,60.520833333333336
2014-01-28,42.166666666666664
2014-01-29,79.16666666666667
2014-01-30,41.0
2014-01-31,49.5
2014-02-01,60.0
2014-02-02,27.541666666666668
2014-02-03,7.833333333333333
2014-02-04,21.666666666666668
2014-02-05,47.0625
2014-02-06,64.54166666666667
2014-02-07,53.083333333333336
2014-02-08,30.875
2014-02-09,15.916666666666666
2014-02-10,32.916666666666664
2014-02-11,70.83333333333333
2014-02-12,75.08333333333333
2014-02-13,79.54166666666667
2014-02-14,96.60416666666667
2014-02-15,110.95833333333333
2014-02-16,89.39583333333333
2014-02-17,63.6875
2014-02-18,57.729166666666664
2014-02-19,53.333333333333336
2014-02-20,81.35416666666667
2014-02-21,99.29166666666667
2014-02-22,104.625
2014-02-23,84.9375
2014-02-24,118.83333333333333
2014-02-25,123.83333333333333
