Date-Time,PM2.5
2013-03-01,7.125
2013-03-02,30.75
2013-03-03,76.91666666666667
2013-03-04,22.708333333333332
2013-03-05,148.875
2013-03-06,223.25
2013-03-07,263.375
2013-03-08,221.45833333333334
2013-03-09,62.041666666666664
2013-03-10,34.291666666666664
2013-03-11,123.79166666666667
2013-03-12,122.79166666666667
2013-03-13,16.041666666666668
2013-03-14,95.16666666666667
2013-03-15,212.29166666666666
2013-03-16,244.875
2013-03-17,284.5416666666667
2013-03-18,70.66666666666667
2013-03-19,41.0
2013-03-20,48.916666666666664
2013-03-21,148.95833333333334
2013-03-22,90.41666666666667
2013-03-23,52.75
2013-03-24,18.541666666666668
2013-03-25,102.25
2013-03-26,187.45833333333334
2013-03-27,91.625
2013-03-28,28.333333333333332
2013-03-29,87.875
2013-03-30,79.54166666666667
2013-03-31,174.25
2013-04-01,94.91666666666667
2013-04-02,99.58333333333333
2013-04-03,124.16666666666667
2013-04-04,66.66666666666667
2013-04-05,54.666666666666664
2013-04-06,11.0
2013-04-07,79.25
2013-04-08,25.833333333333332
2013-04-09,11.791666666666666
2013-04-10,12.75
2013-04-11,22.916666666666668
2013-04-12,53.833333333333336
2013-04-13,61.583333333333336
2013-04-14,34.875
2013-04-15,74.70833333333333
2013-04-16,57.041666666666664
2013-04-17,47.958333333333336
2013-04-18,11.041666666666666
2013-04-19,49.583333333333336
2013-04-20,69.58333333333333
2013-04-21,127.04166666666667
2013-04-22,172.70833333333334
2013-04-23,183.83333333333334
2013-04-24,89.04166666666667
2013-04-25,12.166666666666666
2013-04-26,65.125
2013-04-27,64.5
2013-04-28,71.95833333333333
2013-04-29,14.625
2013-04-30,17.791666666666668
2013-05-01,35.125
2013-05-02,80.91666666666667
2013-05-03,85.16666666666667
2013-05-04,101.95833333333333
2013-05-05,197.41666666666666
2013-05-06,221.375
2013-05-07,178.66666666666666
2013-05-08,130.04166666666666
2013-05-09,52.0
2013-05-10,50.958333333333336
2013-05-11,43.083333333333336
2013-05-12,36.0
2013-05-13,85.83333333333333
2013-05-14,49.083333333333336
2013-05-15,63.208333333333336
2013-05-16,133.35416666666666
2013-05-17,105.33333333333333
2013-05-18,119.54166666666667
2013-05-19,56.208333333333336
2013-05-20,38.958333333333336
2013-05-21,97.08333333333333
2013-05-22,59.708333333333336
2013-05-23,62.416666666666664
2013-05-24,103.95833333333333
2013-05-25,59.791666666666664
2013-05-26,97.33333333333333
2013-05-27,67.29166666666667
2013-05-28,70.41666666666667
2013-05-29,15.125
2013-05-30,55.166666666666664
2013-05-31,94.70833333333333
2013-06-01,69.95833333333333
2013-06-02,153.70833333333334
2013-06-03,118.45833333333333
2013-06-04,123.33333333333333
2013-06-05,122.79166666666667
2013-06-06,126.79166666666667
2013-06-07,121.66666666666667
2013-06-08,169.91666666666666
2013-06-09,47.875
2013-06-10,23.458333333333332
2013-06-11,62.458333333333336
2013-06-12,60.125
2013-06-13,112.70833333333333
2013-06-14,109.95833333333333
