Date-Time,CO
2013-03-01,2461.0
2013-04-01,1583.1666666666667
2013-05-01,1702.2054794520548
2013-06-01,1892.2145833333334
2013-07-01,1448.3225806451612
2013-08-01,1384.75073313783
2013-09-01,1879.9666666666667
2013-10-01,2106.451612903226
2013-11-01,2916.6666666666665
2013-12-01,3452.3502304147464
2014-01-01,3493.548387096774
2014-02-01,3287.698412698413
2014-03-01,2564.516129032258
2014-04-01,1368.6153846153843
2014-05-01,1441.9354838709678
2014-06-01,1390.0
2014-07-01,1338.7096774193549
2014-08-01,1219.3548387096773
2014-09-01,1576.6666666666667
2014-10-01,2274.025537634409
2014-11-01,3070.0
2014-12-01,2067.3762190547636
2015-01-01,3790.3225806451615
2015-02-01,2810.714285714286
2015-03-01,2209.6774193548385
2015-04-01,1382.3809523809525
2015-05-01,1361.2903225806451
2015-06-01,2400.0
2015-07-01,1454.8387096774193
2015-08-01,1561.2903225806451
2015-09-01,1676.6666666666667
2015-10-01,2180.6451612903224
2015-11-01,3617.5
2015-12-01,5800.0
2016-01-01,3396.7741935483873
2016-02-01,1910.344827586207
