Date-Time,NO2
2013-03-01,116.96774193548387
2013-04-01,90.6
2013-05-01,108.58064516129032
2013-06-01,126.07039666666667
2013-07-01,93.62709032258064
2013-08-01,100.37026451612903
2013-09-01,103.23713
2013-10-01,124.12903225806451
2013-11-01,103.0
2013-12-01,104.0
2014-01-01,107.96774193548387
2014-02-01,98.34920634920636
2014-03-01,112.70967741935483
2014-04-01,111.5548717948718
2014-05-01,115.03225806451613
2014-06-01,100.4
2014-07-01,91.58064516129032
2014-08-01,107.83870967741936
2014-09-01,111.43333333333334
2014-10-01,138.35551075268816
2014-11-01,125.29333333333334
2014-12-01,69.08214553638408
2015-01-01,116.6774193548387
2015-02-01,97.67857142857143
2015-03-01,106.96774193548387
2015-04-01,97.66666666666667
2015-05-01,93.41935483870968
2015-06-01,89.76666666666667
2015-07-01,100.41935483870968
2015-08-01,88.2258064516129
2015-09-01,112.4
2015-10-01,132.6451612903226
2015-11-01,112.4
2015-12-01,131.7741935483871
2016-01-01,95.80774193548388
2016-02-01,66.27586206896552
