Date-Time,SO2
2013-03-01,89.90322580645162
2013-04-01,49.9
2013-05-01,56.67741935483871
2013-06-01,34.38110666666667
2013-07-01,19.29032258064516
2013-08-01,13.870683870967742
2013-09-01,26.7
2013-10-01,44.2565935483871
2013-11-01,52.0
2013-12-01,83.88420931899643
2014-01-01,107.29032258064517
2014-02-01,94.07142857142857
2014-03-01,68.2258064516129
2014-04-01,33.716410256410256
2014-05-01,31.741935483870968
2014-06-01,16.2
2014-07-01,9.96774193548387
2014-08-01,9.222580645161292
2014-09-01,11.766666666666667
2014-10-01,20.399193548387096
2014-11-01,33.46666666666667
2014-12-01,41.89619279819955
2015-01-01,69.1774193548387
2015-02-01,61.214285714285715
2015-03-01,42.67741935483871
2015-04-01,20.033333333333335
2015-05-01,17.322580645161292
2015-06-01,13.633333333333333
2015-07-01,12.225806451612904
2015-08-01,8.35483870967742
2015-09-01,12.0
2015-10-01,15.548387096774194
2015-11-01,20.6
2015-12-01,43.16129032258065
2016-01-01,45.38709677419355
2016-02-01,44.86206896551724
