Date-Time,PM10
2013-03-01,270.96774193548384
2013-04-01,193.26666666666668
2013-05-01,255.90322580645162
2013-06-01,241.66666666666666
2013-07-01,167.32258064516128
2013-08-01,164.25806451612902
2013-09-01,181.06666666666666
2013-10-01,227.09677419354838
2013-11-01,198.16666666666666
2013-12-01,229.83870967741936
2014-01-01,264.51612903225805
2014-02-01,253.60714285714286
2014-03-01,275.61290322580646
2014-04-01,260.7061538461538
2014-05-01,304.9032258064516
2014-06-01,120.56666666666666
2014-07-01,146.4516129032258
2014-08-01,155.6451612903226
2014-09-01,183.06666666666666
2014-10-01,264.96774193548384
2014-11-01,270.8333333333333
2014-12-01,169.60318204551135
2015-01-01,224.32258064516128
2015-02-01,247.75
2015-03-01,288.5483870967742
2015-04-01,261.73333333333335
2015-05-01,218.96774193548387
2015-06-01,169.83333333333334
2015-07-01,162.61290322580646
2015-08-01,147.19354838709677
2015-09-01,136.43333333333334
2015-10-01,172.4516129032258
2015-11-01,200.56666666666666
2015-12-01,300.03225806451616
2016-01-01,180.96774193548387
2016-02-01,130.75862068965517
